idblk,row,col,xpos,ypos,ncol_per_row,is_on_edge
420,20,6,0.59222,-0.30427,27,0
421,20,7,0.59222,-0.26134,27,0
422,20,8,0.59222,-0.21842,27,0
423,20,9,0.59222,-0.17386,27,0
424,20,10,0.59222,-0.13094,27,0
425,20,11,0.59222,-0.08801,27,0
426,20,12,0.59222,-0.04346,27,0
427,20,13,0.59222,-0.00053,27,0
428,20,14,0.59222,0.04239,27,0
429,20,15,0.59222,0.08694,27,0
430,20,16,0.59222,0.12987,27,0
431,20,17,0.59222,0.1728,27,0
432,20,18,0.59222,0.21735,27,0
433,20,19,0.59222,0.26027,27,0
434,20,20,0.59222,0.3032,27,0
435,20,21,0.59222,0.34775,27,0
436,20,22,0.59222,0.39068,27,0
437,20,23,0.59222,0.4336,27,0
438,20,24,0.59222,0.47815,27,0
439,20,25,0.59222,0.52108,27,0
440,20,26,0.59222,0.56401,27,1
441,21,0,0.54929,-0.56507,27,1
442,21,1,0.54929,-0.52215,27,0
443,21,2,0.54929,-0.47922,27,0
444,21,3,0.54929,-0.43467,27,0
445,21,4,0.54929,-0.39174,27,0
446,21,5,0.54929,-0.34882,27,0
447,21,6,0.54929,-0.30427,27,0
448,21,7,0.54929,-0.26134,27,0
449,21,8,0.54929,-0.21842,27,0
450,21,9,0.54929,-0.17386,27,0
451,21,10,0.54929,-0.13094,27,0
452,21,11,0.54929,-0.08801,27,0
453,21,12,0.54929,-0.04346,27,0
454,21,13,0.54929,-0.00053,27,0
455,21,14,0.54929,0.04239,27,0
456,21,15,0.54929,0.08694,27,0
457,21,16,0.54929,0.12987,27,0
458,21,17,0.54929,0.1728,27,0
459,21,18,0.54929,0.21735,27,0
460,21,19,0.54929,0.26027,27,0
461,21,20,0.54929,0.3032,27,0
462,21,21,0.54929,0.34775,27,0
463,21,22,0.54929,0.39068,27,0
464,21,23,0.54929,0.4336,27,0
465,21,24,0.54929,0.47815,27,0
466,21,25,0.54929,0.52108,27,0
467,21,26,0.54929,0.56401,27,1
468,22,0,0.50637,-0.56507,27,1
469,22,1,0.50637,-0.52215,27,0
470,22,2,0.50637,-0.47922,27,0
471,22,3,0.50637,-0.43467,27,0
472,22,4,0.50637,-0.39174,27,0
473,22,5,0.50637,-0.34882,27,0
474,22,6,0.50637,-0.30427,27,0
475,22,7,0.50637,-0.26134,27,0
476,22,8,0.50637,-0.21842,27,0
477,22,9,0.50637,-0.17386,27,0
478,22,10,0.50637,-0.13094,27,0
479,22,11,0.50637,-0.08801,27,0
480,22,12,0.50637,-0.04346,27,0
481,22,13,0.50637,-0.00053,27,0
482,22,14,0.50637,0.04239,27,0
483,22,15,0.50637,0.08694,27,0
484,22,16,0.50637,0.12987,27,0
485,22,17,0.50637,0.1728,27,0
486,22,18,0.50637,0.21735,27,0
487,22,19,0.50637,0.26027,27,0
488,22,20,0.50637,0.3032,27,0
489,22,21,0.50637,0.34775,27,0
490,22,22,0.50637,0.39068,27,0
491,22,23,0.50637,0.4336,27,0
492,22,24,0.50637,0.47815,27,0
